Idea,Muy de acuerdo + De acuerdo,Ni en acuerdo ni en desacuerdo,Muy en desacuerdo + En desacuerdo 
La ciencia y la tecnologia estan haciendo que nuestras vidas sean mas faciles y comodas,74.1%,16.5%,7.8%
La C y T nos han ayudado a entender de mejor forma los desastres naturales,66.6%,19.3%,12.8%
La ciencia proporciona el conocimiento mas confiable sobre el mundo,53.8%,26.6%,15.1%
La C y T contribuyen a mejorar el medioambiente,53.0%,24.1%,21.3%
La C y T nos han ayudado a mejorar nuestra alimentacion,46.6%,24.6%,26.7%
El desarrollo cientifico-tecnologico ayudara a disminuir las desigualdades sociales,29.1%,25.0%,40.8%
La C y T son responsables por la mayor parte de los problemas medioambientales que tenemos en la actualidad,55.1%,25.3%,16.6%
Los cientificos se esfuerzan poco en informar al publico sobre su trabajo,61.7%,16.5%,12.7%
Dependemos demasiado de la ciencia y no lo suficiente de la fe,64.5%,20.3%,11.0%
Las aplicaciones de la ciencia y la tecnologia estan haciendo que se pierdan puestos de trabajo,64.7%,20.2%,12.2%
La C y T estan produciendo un estilo de vida artificial,71.1%,17.5%,8.5%
La ciencia hace que nuestro modo de vida cambie demasiado rapido,76.8%,15.0%,6.1%