ID_investigadores,nombrecompleto,carrera_rec,categoria_grado,institucion_estudio,institucion_estudio_rec,pais_rec,especializacion,ofos1_rec,ambito_trabajo,institucion_trabaja,institucion_trabaja_rec,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
6504439865,Juan Flores,"Ingeniero Forestal,Doctor en Hidráulica Ambiental","1,4","Universidad de Talca,Universidad de Córdoba","174,128","ch, ar","Forestry and Wood Industry,Civil Engineering","1,3",3,Ministerio de Agricultura,483,Coordinador de Proyectos,Centro de Información Recursos Naturales,#s.i.,Santiago,1,14,1,1,0,0.07,1
6504441426,Juan Carlos Parra Aravena,"Máster en Física,Profesor en Ciencias Naturales y Física,Doctor en Ciencias Ambientales","3,1,4","Universidad Austral de Chile,Pontificia Universidad Católica de Chile,Universidad de Concepción","94,67,127","ch,ch,ch","Physics, Astronomy,Physics, Astronomy,Environmental Engineering","4,4,3",1,Universidad de La Frontera,146,Profesor Asociado Nivel A,Facultad de Ingeniería y Ciencias,Departamento de Ciencias Físicas,Temuco,13,9,1,1,0,1.47,4
6506337825,Ximena Vargas Mesa,"Ingeniero Civil, mención Hidráulica",1,Universidad de Chile,125,ch,Civil Engineering,3,1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,7,4,40,13.48,4
6506610202,Rómulo Oses Pedraza,"Máster en Ciencias Forestales,Biólogo,Doctor en Ciencias Biológicas","3,1,4","Universidad de Concepción,Universidad de Concepción,Universidad de Concepción","127,127,127","ch,ch,ch","Forestry and Wood Industry,Biology,Biology","1,4,4",1,Centro de Estudios Avanzados en Zonas Áridas,823728,Investigador Asociado,Laboratorio de Ecología Terrestre,#s.i.,La Serena,4,4,2,2,4,0.58,1
6507079284,José Luis Arumí Ribera,"Ingeniero Civil,Doctor en Ingeniería","1,4","Universidad Técnica Federico Santa María,University of Nebraska","240,275","ch,usa","Civil Engineering,--","3,3",1,Universidad de Concepción,127,Decano,Facultad de Ingeniería Agrícola,#s.i.,Chillán,3,8,30,21,67,19.59,1
6507637468,Francisco Encina,"Biólogo Marino,Doctor en Ciencias Ambientales","1,4","Universidad de Concepción,Universidad de Concepción","127,127","ch,ch","Biology,Environmental Engineering","4,3",1,Universidad Católica de Temuco,104,Investigador ,Facultad de Recursos Naturales, Escuela de Ciencias Ambientales,Temuco,13,9,3,3,5,1.81,4
6601975681,Olga Barbosa,"Postdoctorado en Ecología Urbana,Licenciada en Ciencias Biológicas,Doctora en Ecología","5,1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile",#N/A,"ch, ch","Biology,Biology,Biology","4,4,4",1,Universidad Austral de Chile,94,Académico,Facultad de Ciencias,Instituto de Ciencias Ambientales y Evolutivas,Valdivia,17,10,2,2,15,4.77,
6602191993,Eduardo Varas Castellón,"Máster en Ciencias,Ingeniero Civil,Bachiller en Ciencias Matemáticas,Doctor en Ingeniería","3,1,1,4","Leland Stanford Junior University,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Leland Stanford Junior University","47,67,67,47","usa,ch,ch,usa","--,Civil Engineering,Mathematics,--","4,3,4,3",1,Pontificia Universidad Católica de Chile,67,"Profesor, Investigador",Escuela de Ingeniería,Departamento de Ingeniería Hidráulica y Ambiental ,Santiago,1,14,1,1,15,3.33,3
6602208679,Sergio Acuña Nelson,"Ingeniero en Alimentos,Doctor en Ciencias de la Ingeniería, mención Química","1,4","Universidad del Bío Bío,Universidad de Concepción","184,127","ch,ch","Food Technology,Chemical Process Engineering","3,3",1,Universidad del Bío Bío,184,Director,"Dirección General de Investigación, Desarrollo e Innovación",#s.i.,Concepción,7,8,1,1,14,0,4
6602258415,Claudio Valdovinos,"Biólogo,Doctor en Ciencias, mención Zoología, Conservación de Biodiversidad y Recursos Acuáticos Continentales","1,4","Universidad de Concepción,Universidad de Concepción","127,127","ch,ch","Biology,Biology","4,4",1,Universidad de Concepción,127,Director,Vicerrectoría de Investigación y Desarrollo,#s.i.,Concepción,7,8,3,3,4,2.45,4
6602596557,Stefan Woelfl,"Máster en Biología,Doctor en Ciencias Naturales","3,4",University of Konstanz,#N/A,al,"Biology,--","4,4",1,Universidad Austral de Chile,94,Profesor Titular,Facultad de Ciencias,Instituto de Ciencias Marinas y Limnológicas,Valdivia,17,10,4,4,9,4.25,4
6603107360,Andrés Muñoz Pedreros,"Máster en Ecología,Médico Veterinario,Doctor en Ciencias Ambientales","3,1,4","Universidad Austral de Chile,Universidad Austral de Chile,Universidad de Concepción","94,94,127","ch,ch,ch","Biology,Veterinary Medicine,Environmental Engineering","4,1,3",1,Universidad Católica de Temuco,104,Profesor ,Facultad de Recursos Naturales, Escuela de Ciencias Ambientales,Temuco,13,9,6,6,2,3.41,4
6603145197,Andrés Iroumé,"Máster en Ciencias, mención en Manejo de Recursos,Ingeniero Civil,Doctor en Ciencias Forestales","3,1,4","The University of Edinburgh,Universidad de Chile,Universidad de Göttingen","86,125,137","esc,ch,al","Agriculture and Forestry, Fishery not elsewhere classified,Civil Engineering,Forestry and Wood Industry","1,3,1",1,Universidad Austral de Chile,94,Profesor Titular,Facultad de Ciencias Forestales y Recursos Naturales,#s.i.,Valdivia,17,10,15,13,140,22.97,3
6603171626,Julio Haberland,"Ingeniero Agrónomo ,Doctor en Ingeniería Agrícola","1,4","Universidad de Chile,University of Arizona","125,247","ch,usa","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1",1,Universidad de Chile,125,Profesor Asistente,Facultad de Ciencias Agronómicas,Departamento de Ingeniería y Suelos,Santiago,1,14,1,1,6,0.55,1
6603288395,Samuel Ortega Farías,"Máster en Ingeniería en Riego,Ingeniero Agrónomo, mención Enología,Doctor en Modelamiento bio-matemático","3,1,4","Oregon State University,Pontificia Universidad Católica de Chile,Oregon State University","63,67,63","usa,ch,usa","Cultivation of Land, Horticultura,Cultivation of Land, Horticulture,Mathematics","1,1,4",1,Universidad de Talca,174,Director,Centro de Investigación de Agroclimatología y Riego,#s.i.,Talca,5,7,10,5,152,11.48,1
6603357163,Francisco Meza Álvarez,"Ingeniero Agrónomo ,Doctor en Ciencias Atmosféricas","1,4","Pontificia Universidad Católica de Chile,Cornell University","67,17","ch,usa","Cultivation of Land, Horticulture,Meteorology, Climatology","1,4",1,Pontificia Universidad Católica de Chile,67,Profesor Titular,Facultad de Agronomía e Ingeniería Forestal,Departamento de Ecosistemas y Medio Ambiente,Santiago,1,14,20,16,116,33.09,4
6603371198,Gino Casassa,"Máster en Ciencias en Geofísica, mención Glaciología,Ingeniero Hidráulico,Doctor en Glaciología","3,1,4","Universidad de Hokkaido,Universidad de Chile,Ohio State University","143,125,61","ja,ch,usa","Physics, Astronomy,Civil Engineering,Interdisciplinary Geosciences not elsewhere classified","4,3,4",1,Universidad de Magallanes,153,"Profesor, Investigador",Dirección de Programas Antárticos y Subantárticos,"Magister en Ciencias Antárticas, mención glaciología",Punta Arenas,19,13,15,11,464,31.86,4
6603578229,Cristián Echeverría Leal,"Máster en Ciencias Forestales,Ingeniero Forestal,Doctor","3,1,4","Universidad Austral de Chile,Universidad Austral de Chile,University of Cambridge","94,94,252","ch,ch,uk","Forestry and Wood Industry,Forestry and Wood Industry,--",#N/A,1,Universidad de Concepción,127,Director Departamento Manejo de Bosques y Medio Ambiente,Facultad de Ciencias Forestales,Departamento de Ciencias Forestales,Concepción,7,8,1,0,5,3.51,
6603754497,María Angélica Mondaca Jara,"Bioquímica,Doctor en Ciencias Biológicas","1,4","Universidad de Chile,Universidad de Concepción","125,127","ch,ch","Chemistry,Biology","4,4",1,Universidad de Concepción,127,Profesora Emérito,Centro de Ciencias Ambientales EULA-Chile ,Facultad de Ciencias Biológicas,Concepción,7,8,3,2,9,4.71,3
6603850393,Patricio Aceituno,"Ingeniero Civil Electricista,Doctor en Meteorología","1,4","Universidad de Chile,University of Wisconsin, Madison","125,296","ch,usa","Electrical Engineering, Electronics, Information Engineering,Meteorology, Climatology","3,4",1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geofísica,Santiago,1,14,3,2,46,3.86,4
6701322011,Eduardo Holzapfel Hoces,"Máster en Manejo de Aguas,Ingeniero Agrónomo,Doctor en Ingeniería","3,1,4","University of California,Universidad de Concepción,University of California","251,127,251","usa,ch,usa","Environmental Engineering,Cultivation of Land, Horticulture,--","3,1,3",1,Universidad de Concepción,127,Profesor Emérito ,Facultad de Ingeniería Agrícola,Departamento de Recursos Hídricos,Concepción,7,8,6,5,13,4.99,1
6701371309,Silvio Montalvo Martínez,"Ingeniero Químico,Doctor en Ingeniería Química","1,4","Universidad de La Habana,Escuela Técnica de Praga","147,31","cu,rc","Chemical Process Engineering,Chemical Process Engineering","3,3",1,Universidad de Santiago de Chile,170,#s.i.,Facultad de Ingeniería,Departamento de Ingeniería Geográfica,Santiago,1,14,3,0,4,5.54,
6701404949,René Garreaud,"Máster en Geofísica,Ingeniero Civil,Doctor en Ciencias Atmosféricas","3,1,4","Universidad de Chile,Universidad de Chile,University of Washington","125,125,293","ch,ch,usa","Physics, Astronomy,Civil Engineering,Meteorology, Climatology","4,3,4",1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geofísica ,Santiago,1,14,6,5,98,13.94,4
6701640410,Vladimir Alarcón Calderón,"Máster en Ciencias, mención en Ingeniería Ambiental y Recursos Naturales,Diplomado en Docencia Universitaria,Ingeniero Civil,Doctor en Bioingeniería","3,2,1,4","State University of New York,Universidad Diego Portales,Universidad Mayor de San Andrés,Mississippi State University","80,190,208,54","usa,ch,bol,usa","Environmental Engineering,Educational Sciences,Civil Engineering,Environmental biotechnology","3,2,3,3",1,Universidad Diego Portales,190,Académico ,Facultad de Ingeniería,Escuela de Ingeniería en Obras Civiles,Santiago,1,14,10,2,10,5.11,3
6701733189,Carlos Oyarzún,"Bachiller en Ciencias,Licenciado en Ciencias,Doctor en Ciencias Ambientales","1,1,4","Universidad Austral de Chile,Universidad Austral de Chile,Universidad de Concepción","94,94,127","ch,ch,ch","--,--,Environmental Engineering","4,4,3",1,Universidad Austral de Chile,94,Profesor Titular,Facultad de Ciencias Forestales y Recursos Naturales,"Instituto de Conservación, Biodiversidad y Territorio",Valdivia,17,10,5,3,25,7.46,
6701747302,Giovanni Daneri,"Máster en Oceanografía,Doctor en Oceanografía","3,4","University of Southampton,University of Southampton","286,286","in,in","Hydrology,Hydrology","4,4",1,Centro de Investigación en Ecosistemas de la Patagonia,357,Director Ejecutivo,#s.i.,#s.i.,Coyhaique,14,12,2,0,32,3.27,
6701836809,Diego Morata Céspedes,"Licenciado en Geología,Doctor en Ciencias Geológicas","1,4","Universidad de Granada,Universidad de Granada","138,138","es,es","Geology, Mineralogy,Geology, Mineralogy","4,4",1,Universidad de Chile,125,"Profesor, Investigador",Facultad de Ciencias Físicas y Matemáticas, Departamento de Geología,Santiago,1,14,1,0,3,0.08,
7003352967,Jorge Jara Ramírez,"Máster en Ingeniería Agrícola, mención Riego y Drenaje,Ingeniero Agrónomo,Doctor en Ciencias de la Ingeniería","3,1,4","Universidad de Concepción,Universidad de Concepción,Washington State University","127,127,300","ch,ch,usa","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,--","1,1,3",1,Universidad de Concepción,127,Profesor Asociado ,Facultad de Ingeniería Agrícola,Departamento de Recursos Hídricos,Concepción,7,8,3,2,2,3.68,4
7003372165,José Rutllant Costa,"Diplomado en Estudios Avanzados en Geofísica, mención Física de la Atmósfera,Ingeniero Civil Electricista,Doctor en Meteorología","2,1,4","Universidad Paris Dauphine - Paris IX,Universidad de Chile,University of Wisconsin, Madison","220,125,296","fr,ch,usa","Physics, Astronomy,Electrical Engineering, Electronics, Information Engineering,Meteorology, Climatology","4,3,4",1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geofísica,Santiago,1,14,2,0,38,4.9,
7003538302,Hugo Maturana,Doctor en Ciencias Exactas,4,Pontificia Universidad Católica de Chile,67,ch,Mathematics,4,1,Universidad de La Serena,148,Profesor Titular,Facultad de Ingeniería,#s.i.,La Serena,4,4,10,10,45,19.36,4
7003677477,Ricardo Barra Ríos,"Bioquímico,Doctor en Ciencias Ambientales","1,4","Universidad de Concepción,Universidad de Concepción","127,127","ch,ch","Chemistry,Environmental Engineering","4,3",1,Universidad de Concepción,127,Investigador,Centro de Ciencias Ambientales EULA-Chile,Unidad de Sistemas Acuáticos,Concepción,7,8,8,7,30,12.34,4
7003737536,Pedro Toledo Ramírez,"Máster en Ciencias de la Ingeniería, mención Ingeniería Química,Ingeniero Civil Químico,Doctor en Ingeniería Química","3,1,4","Universidad de Concepción,Universidad de Concepción,University of Minnesota","127,127,273","ch,ch,usa","Chemical Process Engineering,Chemical Process Engineering,Chemical Process Engineering","3,3,3",1,Universidad de Concepción,127,Profesor Titular,Facultad de Ingeniería Química,Departamento de Ingeniería Química,Concepción,7,8,2,1,18,0,4
7003994342,Patricio De Los Ríos Escalante,"Licenciado en Ciencias del Mar,Ingeniero en Acuicultura,Doctor en Ciencias, mención Sistemática y Ecología","1,1,4","Universidad de Antofagasta,Universidad de Antofagasta,Universidad Austral de Chile","116,116,94","ch,ch,ch","Hydrology
,Agriculture and Forestry, Fishery not elsewhere classified,Biology","4,1,4",1,Universidad Católica de Temuco,104,Profesor,Facultad de Recursos Naturales, Escuela de Ciencias Ambientales,Temuco,13,9,27,26,45,14.21,4
7004587005,Aldo Tamburrino Tavantzis,"Máster en Ciencias de la Ingeniería Civil,Ingeniero Civil,Doctor en Ingeniería Civil","3,1,4","University of Minnesota,Universidad de Chile,University of Minnesota","273,125,273","usa,ch,usa","Civil Engineering,Civil Engineering,Civil Engineering","3,3,3",1,Universidad de Chile,125,Profesor Asociado,Facultad de Ciencias Fisicas y Matemáticas, Departamento de Ingeniería Civil,Santiago,1,14,6,3,24,8.61,4
7004638881,Gonzalo Pizarro,"Máster en Ciencias de la Ingeniería,Ingeniero Civil,Doctor en Ingeniería Ambiental","3,1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,University of Wisconsin, Madison","67,67,296","ch,ch,usa","--,Civil Engineering,Environmental Engineering","3,3,3",1,Pontificia Universidad Católica de Chile,67,"Profesor, Investigador",Escuela de Ingeniería,Departamento de Ingeniería Hidráulica y Ambiental ,Santiago,1,14,11,9,39,28.49,3
7004890330,Claudio Zaror Zaror,"Ingeniero Civil Químico,Doctor en Ingeniería Química","1,4","Universidad de Concepción,University of London","127,266","ch,uk","Chemical Process Engineering,Chemical Process Engineering","3,3",1,Universidad de Concepción,127,Docente,Facultad de Ingeniería,Departamento de Ingeniería Química,Concepción,7,8,5,2,50,5.35,3
7005419979,Jaime Tapia Sanhueza,"Licenciado en Química,Doctor en Ciencias, mención Química","1,4",Universidad de Concepción,#N/A,ch,"Chemistry,Chemistry","4,4",1,Universidad de Talca,174,Director,Instituto de Química de Recursos Naturales,#s.i.,Talca,5,7,5,5,16,4.24,4
7005677213,Ben Brock,"Geógrafo ,Doctor en Glaciología","1,4",,#N/A,#N/A,"Human Geography, Regional Geography, Regional Planning,Interdisciplinary Geosciences not elsewhere classified","2,4",1,Centro de Estudios Científicos,823729,Investigador Asociado,Laboratorio de Glaciología,#s.i.,Valdivia,17,10,1,1,2,4.2,
7005735928,Óscar Parra Barrientos,"Biólogo,Doctor en Recursos Naturales","1,4","Universidad de Concepción,Universidad Libre de Berlín","127,205","ch,al","Biology,Agriculture and Forestry, Fishery not elsewhere classified","4,1",1,Universidad de Concepción,127,Investigador,Centro de Ciencias Ambientales EULA-Chile,#s.i.,Concepción,7,8,7,5,49,7.05,4
7005818340,Roberto Godoy Bórquez,"Profesor de Biología y Química,Doctor en Recursos Naturales","1,4","Universidad Austral de Chile,Justus Liebig University","94,44","ch,al","Biology,Agriculture and Forestry, Fishery not elsewhere classified","4,1",1,Universidad Austral de Chile,94,Académico,Facultad de Ciencias,Instituto de Ciencias Ambientales y Evolutivas,Valdivia,17,10,2,1,19,3.42,
7005998792,Paulina Montero,"Ingeniero Pesquero y Acuícola,Máster en Oceanografía","1,3",,#N/A,#N/A,"Agriculture and Forestry, Fishery,Hydrology","1,4",1,Centro de Investigación en Ecosistemas de la Patagonia,357,Investigador residente,#s.i.,#s.i.,Coyhaique,14,12,1,0,3,3.27,
7006634082,Antonio Lara,"Ingeniero Forestal,Doctor en Geografía","1,4","Universidad de Chile,University of Colorado","125,256","ch,usa","Forestry and Wood Industry,Human Geography, Regional Geography, Regional Planning","1,2",1,Universidad Austral de Chile,94,Profesor Titular,Facultad de Ciencias Forestales y Recursos Naturales,#s.i.,Valdivia,17,10,7,6,52,15.29,3
7006719075,Jaime Pizarro Konczak,"Profesor en Química,Doctor en Ciencias, mención en Química","1,4","Universidad de Chile,University of Geneva","125,258","ch,su","Chemistry,Chemistry","4,4",1,Universidad de Santiago de Chile,170,Profesor Asociado,Facultad de Ingeniería, Departamento de Ingeniería Geográfica,Santiago,1,14,4,4,33,12.3,3
7101747340,María Pía Mena Patri,"Ingeniero Civil,Máster en Ingeniería Ambiental","1,3","Universidad de Chile,New York University","125,58","ch,usa","Civil Engineering,Environmental Engineering","3,3",1,Universidad de Chile,125,Profesor Adjunto,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,1,0,0,0,
7102094324,Christian Herrera Lameli,"Geólogo,Doctor en Hidrogeología","1,4","Universidad Católica del Norte,Universidad Politécnica de Cataluña","107,226","ch,es","Geology, Mineralogy,Hydrology","4,4",1,Universidad Católica del Norte,107,Investigador,Centro de Investigación Tecnológica del Agua en el Desierto,#s.i.,Antofagasta,10,2,3,3,29,8.32,4
7102103268,Bernabé Rivas,"Bioquímico,Doctor en Ciencias, mención en Química","1,4","Universidad de Concepción,Universidad de Concepción","127,127","ch,ch","Chemistry,Chemistry","4,4",1,Universidad de Concepción,127,Vicerrector,Vicerectoria de Investigación y Desarrollo,#s.i.,Concepción,7,8,26,23,171,71.79,4
7102297218,Jacobus Le Roux,Máster en Ciencias,3,University of Stellenbosch,288,sud,--,4,1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geología,Santiago,1,14,1,0,8,1.74,
7102503885,Gladys Vidal Sáez,"Ingeniero Civil Industrial, mención Agroindustria,Doctor en Ciencias Ambientales, mención Química","1,4","Universidad de la Frontera,Universidad Santiago de Compostela","146,231","ch,es","--,Chemistry","3,4",1,Universidad de Concepción,127,Profesor Titular,Centro de Ciencias Ambientales EULA-Chile,Grupo de Ingeniería y Biotecnología Ambiental,Concepción,7,8,21,19,85,25.83,3
7102630622,Pablo Marquet,"Licenciado en Biología,Doctor en Biología","1,4","Universidad de Concepción,University of New Mexico","127,277","ch,usa","Biology,Biology","4,4",1,Pontificia Universidad Católica de Chile,67,Profesor Titular,Facultad de Ciencias Biológicas,Departamento de Ecología,Santiago,1,14,1,1,15,4.53,
7102638371,Duncan Christie,"Biólogo,Doctor en Ciencias Forestales","1,4","Universidad Católica de Valparaíso,Universidad Austral de Chile","105,94","ch,ch","Biology,Forestry and Wood Industry","4,1",1,Universidad Austral de Chile,94,Académico ,Facultad de Ciencias Forestales y Recursos Naturales,#s.i.,Valdivia,17,10,7,6,90,17.26,4
7102678786,Ricardo Márquez Berasain,Ingeniero de Ejecución Electrónica,1,Universidad católica del Norte,107,ch,"Electrical Engineering, Electronics, Information Engineering",3,1,Universidad de Antofagasta,116,Profesor Asistente,Facultad de Ingeniería,#s.i.,Antofagasta,10,2,1,1,2,2.43,
7102842636,Maisa Rojas,"Licenciado en Ciencias, mención Física,Doctor en Física Atmosférica","1,4","Universidad de Chile,University of Oxford","125,283","ch,uk","Physics, Astronomy,Physics, Astronomy","4,4",1,Universidad de Chile,125,Profesor Asociado,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geofísica,Santiago,1,14,6,6,103,23.81,4
7201466439,Raimund Bürger,"Matemático,Doctor en Ciencias Naturales y Matemáticas","3,4",Universidad de Stuttgart,#N/A,al,"Mathematics,Mathematics","4,4",1,Universidad de Concepción,127,Subdirector,Centro de Investigación en Ingeniería Matemática,#s.i.,Concepción,7,8,4,4,79,12.66,3
7201505087,Bonifacio Fernández Larrañaga,"Máster en Ciencias,Ingeniero Civil,Doctor en Ingeniería Civil","3,1,4","Colorado State University,Pontificia Universidad Católica de Chile,Colorado State University","15,67,15","usa,ch,usa","--,Civil Engineering,Civil Engineering","4,3,3",1,Pontificia Universidad Católica de Chile,67,Profesor Emérito ,Escuela de Ingeniería,Departamento de Ingeniería Hidráulica y Ambiental ,Santiago,1,14,6,4,16,6.8,4
7202629589,Luca Mao,"Máster en Bosque y Ciencias Ambientales,Licenciado en Ciencias Forestales y Ambientales,Doctor en Manejo ambiental de las cuencas hidrográficas","3,1,4","Universidad de Padua,Universidad de Padua,Universidad de Padua","161,161,161","ita,ita,ita","Forestry and Wood Industry,Forestry and Wood Industry,Hydrology","1,1,4",1,Pontificia Universidad Católica de Chile,67,Profesor Titular,Facultad de Agronomía e Ingeniería Forestal,Departamento de Ecosistemas y Medio Ambiente,Santiago,1,14,44,25,296,63.08,4
7202770598,Claudio Meier,"Máster en Ingeniería Civil, mención Hidráulica,Ingeniero Civil,Doctor en Ecología","3,1,4","Colorado State University,Universidad de Concepción,University of Montana","15,127,274","usa,ch,usa","Civil Engineering,Civil Engineering,Biology","3,3,4",1,Universidad de Concepción,127,Profesor Asociado ,Facultad de Ingeniería,Departamento de Ingeniería Civil,Concepción,7,8,7,5,82,10.78,4
7203008441,Rodrigo Torres,"Máster en Oceanografía,Biólogo Marino,Doctor en Química","3,1,4","Universidad de Concepción,Universidad de Concepción,Universidad de Gotemburgo","127,127,136","ch,ch,sue","Hydrology,Biology,Chemistry","4,4,4",1,Centro de Investigación en Ecosistemas de la Patagonia,357,Investigador residente,#s.i.,#s.i.,Coyhaique,14,12,4,1,66,6.79,
7401603886,José Díaz Osorio,"Máster en Ciencias Agrarias,Ingeniero Agrónomo,Doctor en Ciencias Agrarias","3,1,4","University of Göttingen,Universidad de Chile,University of Göttingen","259,125,259","al,ch,al","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1,1",1,Universidad de Talca,174,Profesor Asociado,Facultad de Ciencias Agrarias,Departamento de Economía Agraria,Talca,5,7,1,0,4,3.11,
